序号,物料编号,名称,规格描述,封装/尺寸,数量,单位,参考单价(元),供应商/品牌,备注
1,CAM-001,OV2640 摄像模组,1/4" CMOS 2MP QVGA DVP JPEG 输出,模块 21x16mm,1,个,18.50,OmniVision/模组厂,焦距3.6mm F2.8 定焦镜头
2,CON-001,Pogo Pin 连接器(母座),10-pin 2.0mm pitch 磁吸式,21x10x5mm,1,个,8.20,Pogo Pin 厂商,眼镜侧;弹簧顶针+磁铁座
3,CON-002,Pogo Pin 连接器(公座),10-pin 2.0mm pitch 磁吸式,21x10x5mm,1,个,8.20,Pogo Pin 厂商,摄像侧;金手指接触面
4,CON-003,FPC 排线连接器(母座),14-pin 0.5mm pitch 下接,3.4x4.0mm,2,个,1.80,Hirose/国产,眼镜侧+摄像侧各1个
5,CON-004,FPC 柔性排线,14-pin 0.5mm pitch 同向触点 长50mm,50x5.0mm,1,条,3.50,FPC 厂商,DVP 高速信号用
6,MAG-001,钕铁硼磁铁 N35,D5xT2mm 圆片镀镍铜镍,直径5mm 厚2mm,4,个,0.30,磁材厂,对角分布;Pogo Pin Block A 用
7,MAG-002,钕铁硼磁铁 N35,D3xT1.5mm 圆片镀镍铜镍,直径3mm 厚1.5mm,2,个,0.15,磁材厂,FPC 连接器预对位用
8,IC-001,LDO 稳压器 RT9013-3.3,3.3V/500mA SOT-23-5,SOT-23-5,1,个,0.80,Richtek/立锜,VCC_3V3 摄像模块供电
9,IC-002,TVS 二极管阵列 ESDA6V8-1U2,3.3V 8kV ESD 保护,DFN-6,3,个,0.45,ST/意法,SCCB/DETECT/XCLK 保护
10,RES-001,贴片电阻 4.7kΩ,4.7kΩ ±1% 0603,0603,2,个,0.02,国巨/华新,SCCB SCL/SDA 上拉
11,RES-002,贴片电阻 10kΩ,10kΩ ±1% 0603,0603,1,个,0.02,国巨/华新,DETECT 外部上拉
12,CAP-001,MLCC 陶瓷电容 0.1μF,100nF 50V X7R 0603,0603,4,个,0.03,国巨/华新,VCC 退耦;每个VCC引脚1个
13,CAP-002,MLCC 陶瓷电容 10μF,10μF 16V X7R 0805,0805,2,个,0.10,国巨/华新,VCC 大容量退耦
14,CAP-003,MLCC 陶瓷电容 1μF,1μF 50V X7R 0603,0603,2,个,0.05,国巨/华新,LDO 输入/输出退耦
15,MEC-001,摄像模块外壳,ABS+PC 注塑 黑色,28x22x12mm,1,个,2.50,结构件厂,含镜头开孔+磁铁安装位
16,MEC-002,机械导柱,不锈钢 SUS304 直径2mm 高3mm,直径2x3mm,2,个,0.20,机加工,防呆对位;Pogo Pin Block A 两侧
17,PCB-001,摄像模块 PCB,4层板 FR4 1.0mm 沉金 ENIG,24x18mm,1,个,3.00,PCB 厂,含 OV2640 焊盘+连接器焊盘
18,LENS-001,镜头组件,1/4" 3.6mm F2.8 定焦 M12,直径14mm,1,个,2.80,镜头厂,OV2640 配套镜头+滤光片
19,SCR-001,不锈钢螺丝 M1.6x4,M1.6 螺纹 长4mm 十字盘头,M1.6,2,个,0.05,紧固件厂,外壳固定
20,PAD-001,导热硅脂,导热系数1.5W/mK,5g 管装,1,管,1.00,导热材料厂,OV2640 到外壳散热
